id,transfer date,month,year,transfer season,from club name,to club name,transfer fee,market value,player name,,country,position,team,league,age,birth year,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
668951,2024,7,30,24/25,Juventus,AS Roma,25600000,25000000,Matías Soulé,,ar ARG,"FW,MF",Frosinone,it Serie A,20,2003,36,36,3121,34.7,11,3,14,6,5,6,4,0,10.5,5.7,6.6,12.3,115,198,211,0.32,0.09,0.4,0.17,0.26,0.3,0.19,0.49,0.17,0.36
326029,2025,1,14,24/25,Bor. Dortmund,Aston Villa,25000000,28000000,Donyell Malen,,nl NED,"FW,MF",Dortmund,de Bundesliga,24,1999,27,21,1781,19.8,13,1,14,13,0,0,5,0,9.5,9.5,3,12.5,73,57,163,0.66,0.05,0.71,0.66,0.71,0.48,0.15,0.63,0.48,0.63
585323,2024,7,30,24/25,Villarreal,Chelsea,24500000,20000000,Filip Jørgensen,,dk DEN,GK,Villarreal,es La Liga,21,2002,36,36,3240,36,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665390,2025,1,15,24/25,Aston Villa,Ipswich,23700000,15000000,Jaden Philogene,,eng ENG,FW,Aston Villa,eng Premier League,21,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
541231,2024,8,22,24/25,Liverpool,Brentford,23600000,12000000,Sepp van den Berg,,nl NED,DF,Mainz 05,de Bundesliga,21,2001,33,31,2839,31.5,3,0,3,3,0,0,9,0,2.7,2.7,0.3,3,7,95,6,0.1,0,0.1,0.1,0.1,0.08,0.01,0.09,0.08,0.09
124419,2024,7,1,24/25,Nottm Forest,Newcastle,23600000,7000000,Odysseas Vlachodimos,,gr GRE,GK,Nott'ham Forest,eng Premier League,29,1994,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01
333014,2024,8,22,24/25,Burnley,Fulham,23550000,20000000,Sander Berge,,no NOR,MF,Burnley,eng Premier League,25,1998,37,34,3005,33.4,1,2,3,1,0,0,10,1,1.9,1.9,2.4,4.3,64,164,29,0.03,0.06,0.09,0.03,0.09,0.06,0.07,0.13,0.06,0.13
406638,2024,8,19,24/25,Tottenham,Leicester,23500000,15000000,Oliver Skipp,,eng ENG,"MF,DF",Tottenham,eng Premier League,22,2000,21,5,707,7.9,0,0,0,0,0,0,3,0,0.7,0.7,0.6,1.3,8,37,25,0,0,0,0,0,0.09,0.07,0.16,0.09,0.16
353892,2024,7,1,24/25,VfB Stuttgart,Bayern Munich,23500000,30000000,Hiroki Ito,,jp JPN,DF,Stuttgart,de Bundesliga,24,1999,26,25,2228,24.8,0,2,2,0,0,0,1,0,0.9,0.9,2,2.9,29,121,32,0,0.08,0.08,0,0.08,0.04,0.08,0.12,0.04,0.12
559263,2024,8,12,24/25,Liverpool,Brentford,23400000,14000000,Fábio Carvalho,,pt POR,MF,RB Leipzig,de Bundesliga,20,2002,9,1,165,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,8,9,13,0,0,0,0,0,0.12,0.13,0.25,0.12,0.25
289592,2024,7,2,24/25,Nottm Forest,Olympique Lyon,23400000,20000000,Orel Mangala,,be BEL,MF,Nott'ham Forest,eng Premier League,25,1998,20,19,1563,17.4,1,0,1,1,0,0,6,0,0.8,0.8,0.2,1.1,13,45,14,0.06,0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06
512385,2024,7,1,24/25,Leeds,Bournemouth,23400000,17000000,Luis Sinisterra,,co COL,"FW,MF",Bournemouth,eng Premier League,24,1999,20,7,699,7.8,2,2,4,2,0,0,0,0,2.5,2.5,2.4,5,51,38,85,0.26,0.26,0.52,0.26,0.52,0.33,0.31,0.64,0.33,0.64
633992,2024,7,10,24/25,Stade Rennais,AS Roma,23000000,18000000,Enzo Le Fée,,fr FRA,MF,Rennes,fr Ligue 1,23,2000,25,19,1527,17,0,1,1,0,0,0,3,0,0.5,0.5,1.8,2.3,45,124,58,0,0.06,0.06,0,0.06,0.03,0.11,0.14,0.03,0.14
435772,2024,7,1,24/25,AC Milan,Atalanta BC,22700000,34000000,Charles De Ketelaere,,be BEL,"FW,MF",Atalanta,it Serie A,22,2001,35,25,2026,22.5,10,8,18,9,1,1,1,0,7.1,6.3,6.1,12.4,88,126,219,0.44,0.36,0.8,0.4,0.76,0.31,0.27,0.59,0.28,0.55
